city,distance,through
KAB. ACEH BARAT,4933.145419388626,"[495, 373, 374, 364, 359, 323]"
KAB. ACEH BARAT DAYA,4881.388922631753,"[495, 494, 493, 412, 363, 357]"
KAB. ACEH BESAR,5006.458312478001,"[495, 496, 367, 3]"
KAB. ACEH JAYA,4930.154839140902,"[495, 496, 367]"
KAB. ACEH SELATAN,4734.841441260778,"[495, 496, 367]"
KAB. ACEH SINGKIL,4694.184519233675,"[495, 494, 460, 461]"
KAB. ACEH TAMIANG,4710.224036102354,"[495, 373, 374, 325]"
KAB. ACEH TENGAH,4841.901561338132,"[495, 373, 374, 325, 6]"
KAB. ACEH TENGGARA,4745.762618195458,"[495, 373, 327, 328]"
KAB. ACEH TIMUR,4706.621579910403,"[495, 373, 374, 375]"
KAB. ACEH UTARA,4736.51358405122,[495]
KAB. BENER MERIAH,4775.634785750721,"[495, 10]"
KAB. BIREUEN,4826.629959324342,"[495, 10, 11]"
KAB. GAYO LUES,4847.865885912632,"[495, 494, 493, 412, 363, 357]"
KAB. NAGAN RAYA,4867.3331733005125,"[495, 496, 356, 29, 25]"
KAB. PIDIE,4976.624769947821,"[495, 496, 356, 29, 16]"
KAB. PIDIE JAYA,4947.093373315241,"[495, 496, 356, 29]"
KAB. SIMEULUE,4891.585238652219,"[495, 322, 59]"
KOTA BANDA ACEH,4962.694277767062,"[495, 373, 97, 19]"
KOTA LANGSA,4645.534622200956,"[495, 373, 97]"
KOTA LHOKSEUMAWE,4767.005843681332,"[495, 373, 97, 19]"
KOTA SABANG,4983.153383450011,"[495, 373, 97, 19, 20]"
KOTA SUBULUSSALAM,4677.443053934399,"[495, 496, 356, 29, 27]"
KAB. ASAHAN,4573.7940556678395,"[495, 494, 493, 412, 363, 357]"
KAB. BATUBARA,4551.366085761682,"[495, 494, 460, 94, 93, 92]"
KAB. DAIRI,4626.035469526182,"[495, 496, 356, 29]"
KAB. DELI SERDANG,4655.458700892562,"[495, 333, 334, 321, 30]"
KAB. HUMBANG HASUNDUTAN,4584.84755739482,"[495, 496, 356, 29]"
KAB. KARO,4634.455877316837,"[495, 496, 356, 29]"
KAB. LABUHANBATU,4406.544029104576,"[495, 496, 356]"
KAB. LABUHANBATU SELATAN,4419.119366155853,"[495, 333, 334, 321]"
KAB. LABUHANBATU UTARA,4464.064429335218,"[495, 496, 367]"
KAB. LANGKAT,4620.317660107169,"[495, 496]"
KAB. MANDAILING NATAL,4481.076597593903,"[495, 373, 374, 375]"
KAB. NIAS,4647.396420761655,"[495, 322, 59, 62]"
KAB. NIAS BARAT,4677.5225412605005,"[495, 322, 59, 62, 34]"
KAB. NIAS SELATAN,4688.8807526323135,"[495, 494, 493]"
KAB. NIAS UTARA,4695.344456860585,"[495, 333, 38]"
KAB. PADANG LAWAS,4425.68108803258,"[495, 333]"
KAB. PADANG LAWAS UTARA,4465.948304337022,"[495, 373, 374, 375, 84]"
KAB. PAKPAK BHARAT,4646.64425941308,"[495, 373, 374, 325, 88]"
KAB. SAMOSIR,4627.275246024103,"[495, 373, 374, 43, 42]"
KAB. SERDANG BEDAGAI,4543.045753192865,"[495, 373, 374, 43]"
KAB. SIMALUNGUN,4496.159687580078,"[495, 373, 374]"
KAB. TAPANULI SELATAN,4514.339646170104,"[495, 333, 346, 347]"
KAB. TAPANULI TENGAH,4583.829385876934,"[495, 494, 460, 459]"
KAB. TAPANULI UTARA,4586.7687750700825,"[495, 496, 78]"
KAB. TOBA SAMOSIR,4626.442647286787,"[495, 496, 78, 46]"
KOTA BINJAI,4614.580773066381,"[495, 373, 374, 52]"
KOTA GUNUNGSITOLI,4689.38466843853,"[495, 333, 332, 77]"
KOTA MEDAN,4638.022422783462,"[495, 494, 460, 459, 361]"
KOTA PADANGSIDEMPUAN,4593.188901420171,"[495, 333, 332, 355, 74]"
KOTA PEMATANGSIANTAR,4519.377509177177,"[495, 373, 374]"
KOTA SIBOLGA,4582.846443837801,"[495, 333, 332, 331]"
KOTA TANJUNGBALAI,4538.385387144126,"[495, 496, 474]"
KOTA TEBING TINGGI,4558.398147748244,"[495, 373, 374, 325]"
KAB. AGAM,4436.7775912524,"[495, 496, 447, 57]"
KAB. DHARMASRAYA,4247.962751265291,"[495, 496, 447]"
KAB. KEPULAUAN MENTAWAI,4493.166064671702,"[495, 333, 332, 124]"
KAB. LIMA PULUH KOTA,4315.093623576897,"[495, 322]"
KAB. PADANG PARIAMAN,4382.112974662546,"[495, 494, 460, 459]"
KAB. PASAMAN,4358.281340464861,"[495, 322, 59]"
KAB. PASAMAN BARAT,4416.017272330991,"[495, 322, 59]"
KAB. PESISIR SELATAN,4305.806863907875,"[495, 333, 346, 345]"
KAB. SIJUNJUNG,4294.878297814276,"[495, 373, 374]"
KAB. SOLOK,4287.384762389244,"[495, 333, 332, 331, 103]"
